method,beta,fold,seed,Avg,Last,forgetting_proxy,e_star
mgc_only,4.0,1,0,0.7293075396825397,0.6675,0.35555555555555557,4
mgc_only,4.0,2,0,0.7136984126984127,0.6375,0.39166666666666666,4
mgc_only,4.0,3,0,0.7488343253968255,0.71,0.3111111111111111,4
mgc_only,4.0,4,0,0.7286200396825396,0.645,0.3777777777777777,4
mgc_only,4.0,5,0,0.700982142857143,0.6375,0.3944444444444445,4
mgp_mgc,4.0,1,0,0.906545634920635,0.8625,0.1361111111111111,4
mgp_mgc,4.0,2,0,0.9210138888888888,0.8475,0.15555555555555556,4
mgp_mgc,4.0,3,0,0.9243978174603175,0.89,0.11666666666666667,4
mgp_mgc,4.0,4,0,0.9166557539682542,0.88,0.10833333333333332,4
mgp_mgc,4.0,5,0,0.8967936507936509,0.82,0.18055555555555555,4
mgp_only,0.0,1,0,0.8092380952380953,0.795,0.20833333333333334,4
mgp_only,0.0,2,0,0.7971517857142858,0.7725,0.23055555555555557,4
mgp_only,0.0,3,0,0.8338670634920635,0.8175,0.18055555555555555,4
mgp_only,0.0,4,0,0.8272142857142857,0.7875,0.20833333333333334,4
mgp_only,0.0,5,0,0.800794642857143,0.8,0.18055555555555555,4
naive_adapter,0.0,1,0,0.6858799603174603,0.62,0.4083333333333334,4
naive_adapter,0.0,2,0,0.6812003968253968,0.5425,0.4972222222222222,4
naive_adapter,0.0,3,0,0.7005565476190476,0.625,0.40555555555555556,4
naive_adapter,0.0,4,0,0.7011587301587301,0.605,0.4222222222222222,4
naive_adapter,0.0,5,0,0.6823571428571429,0.5925,0.44999999999999996,4
zero_shot_clap,0.0,1,0,0.8186755952380953,0.8425,0.038888888888888896,4
zero_shot_clap,0.0,2,0,0.818357142857143,0.82,0.055555555555555566,4
zero_shot_clap,0.0,3,0,0.8196646825396826,0.8275,0.04722222222222223,4
zero_shot_clap,0.0,4,0,0.8093541666666665,0.8375,0.030555555555555544,4
zero_shot_clap,0.0,5,0,0.8217361111111112,0.8275,0.049999999999999996,4
