method,beta,fold,seed,task_id,seen_classes,accuracy,pos_mean,neg_mean,gap_distance
zero_shot_clap,0.0,1,0,1,5,0.8,0.44728556275367737,0.20393109321594238,0.763349006857609
zero_shot_clap,0.0,1,0,2,10,0.7875,0.4180127680301666,0.15670987963676453,0.791886748477592
zero_shot_clap,0.0,1,0,3,15,0.8083333333333333,0.38887009024620056,0.07948743551969528,0.7914497621173061
zero_shot_clap,0.0,1,0,4,20,0.79375,0.38256168365478516,0.05058620870113373,0.7869404219114329
zero_shot_clap,0.0,1,0,5,25,0.82,0.3794518709182739,0.037729114294052124,0.7885155145318222
zero_shot_clap,0.0,1,0,6,30,0.8166666666666667,0.36996951699256897,0.027957193553447723,0.7946601874796847
zero_shot_clap,0.0,1,0,7,35,0.8357142857142857,0.37893763184547424,0.02422233112156391,0.7747884670566632
zero_shot_clap,0.0,1,0,8,40,0.840625,0.3803374767303467,0.023385757580399513,0.7692082538602791
zero_shot_clap,0.0,1,0,9,45,0.8416666666666667,0.3826231360435486,0.025183379650115967,0.7661478647428122
zero_shot_clap,0.0,1,0,10,50,0.8425,0.38761162757873535,0.024950679391622543,0.7620153201869715
naive_adapter,0.0,1,0,1,5,1.0,0.518886387348175,0.03205358237028122,0.7118392070757928
naive_adapter,0.0,1,0,2,10,0.8,0.34548744559288025,-0.05640554055571556,0.874239443731116
naive_adapter,0.0,1,0,3,15,0.6416666666666667,0.37109509110450745,-0.0004565068520605564,0.8535866978971907
naive_adapter,0.0,1,0,4,20,0.59375,0.4087781012058258,0.02911546640098095,0.7850022937296216
naive_adapter,0.0,1,0,5,25,0.69,0.4173765480518341,0.02625715173780918,0.7556649919664487
naive_adapter,0.0,1,0,6,30,0.4666666666666667,0.36452752351760864,0.012316642329096794,0.8294723656328403
naive_adapter,0.0,1,0,7,35,0.6928571428571428,0.35147133469581604,-0.02558041736483574,0.8060866994203207
naive_adapter,0.0,1,0,8,40,0.70625,0.3912619650363922,0.011183816939592361,0.7424118796298709
naive_adapter,0.0,1,0,9,45,0.6333333333333333,0.38525035977363586,0.020504094660282135,0.7476745134437325
naive_adapter,0.0,1,0,10,50,0.605,0.36565497517585754,-0.005177315790206194,0.8017974256414946
mgp_only,0.0,1,0,1,5,1.0,0.49698981642723083,0.15462124347686768,0.708337703742791
mgp_only,0.0,1,0,2,10,0.875,0.4018375873565674,0.06134423241019249,0.7743136535221714
mgp_only,0.0,1,0,3,15,0.7666666666666667,0.3575625717639923,0.021772662177681923,0.816973033923261
mgp_only,0.0,1,0,4,20,0.68125,0.37673452496528625,0.03073892928659916,0.7937175724114176
mgp_only,0.0,1,0,5,25,0.81,0.3870297968387604,0.026158856227993965,0.7677302781370774
mgp_only,0.0,1,0,6,30,0.6625,0.3442193865776062,0.021296491846442223,0.8560618945512913
mgp_only,0.0,1,0,7,35,0.7571428571428571,0.33733946084976196,-0.02220025286078453,0.8225102836035304
mgp_only,0.0,1,0,8,40,0.771875,0.3980937898159027,0.046130694448947906,0.7644919671692751
mgp_only,0.0,1,0,9,45,0.8388888888888889,0.40419989824295044,0.03592470660805702,0.7217792785932762
mgp_only,0.0,1,0,10,50,0.755,0.37321773171424866,0.014298871159553528,0.7937087201385897
mgc_only,4.0,1,0,1,5,1.0,0.5216883420944214,0.03023073635995388,0.7100234753812568
mgc_only,4.0,1,0,2,10,0.8625,0.3441120982170105,-0.0534445121884346,0.8705386853041515
mgc_only,4.0,1,0,3,15,0.6333333333333333,0.3674141466617584,-0.002991696586832404,0.8603843008979759
mgc_only,4.0,1,0,4,20,0.6625,0.41141611337661743,0.03103366680443287,0.7860425382160706
mgc_only,4.0,1,0,5,25,0.795,0.4146559238433838,0.023504234850406647,0.7595228194107921
mgc_only,4.0,1,0,6,30,0.5458333333333333,0.36220353841781616,0.010725137777626514,0.8360337499370882
mgc_only,4.0,1,0,7,35,0.6714285714285714,0.3398278057575226,-0.03303845599293709,0.825067764723115
mgc_only,4.0,1,0,8,40,0.73125,0.3767310082912445,0.005750508047640324,0.7675488906590597
mgc_only,4.0,1,0,9,45,0.6833333333333333,0.38094252347946167,0.018650084733963013,0.7565076309209353
mgc_only,4.0,1,0,10,50,0.685,0.3624102771282196,-0.006142954342067242,0.8075154813795647
mgp_mgc,4.0,1,0,1,5,1.0,0.49450650811195374,0.1479421705007553,0.7072627558227587
mgp_mgc,4.0,1,0,2,10,0.9375,0.39600974321365356,0.05917876586318016,0.7770357989585172
mgp_mgc,4.0,1,0,3,15,0.8666666666666667,0.35994842648506165,0.0236301738768816,0.8119046427152218
mgp_mgc,4.0,1,0,4,20,0.8125,0.38088956475257874,0.03360498324036598,0.7794397938135215
mgp_mgc,4.0,1,0,5,25,0.875,0.3929065763950348,0.030974198132753372,0.7510953995560882
mgp_mgc,4.0,1,0,6,30,0.725,0.35181012749671936,0.025211075320839882,0.8391148281167378
mgp_mgc,4.0,1,0,7,35,0.8428571428571429,0.3402373194694519,-0.019374608993530273,0.8177105853371781
mgp_mgc,4.0,1,0,8,40,0.815625,0.40172404050827026,0.04892432317137718,0.7550206586092186
mgp_mgc,4.0,1,0,9,45,0.9027777777777778,0.40891173481941223,0.03966483846306801,0.711044376835029
mgp_mgc,4.0,1,0,10,50,0.8225,0.3732566833496094,0.014207770116627216,0.7920901464473497
zero_shot_clap,0.0,2,0,1,5,0.775,0.4541921615600586,0.20828139781951904,0.7702904767439461
zero_shot_clap,0.0,2,0,2,10,0.775,0.41824084520339966,0.15548895299434662,0.786751113412759
