method,beta,fold,seed,Avg,Last,forgetting_proxy,e_star
mgc_only,0.0,1,0,0.90625,0.9125,0.07500000000000007,2
mgc_only,1.0,1,0,1.0,1.0,0.0,2
mgc_only,2.0,1,0,1.0,1.0,0.0,2
mgc_only,4.0,1,0,1.0,1.0,0.0,2
mgc_only,8.0,1,0,0.99375,0.9875,0.0,2
mgp_mgc,0.0,1,0,0.9125000000000001,0.925,0.050000000000000044,2
mgp_mgc,1.0,1,0,1.0,1.0,0.0,2
mgp_mgc,2.0,1,0,0.99375,0.9875,0.0,2
mgp_mgc,4.0,1,0,0.99375,0.9875,0.0,2
mgp_mgc,8.0,1,0,0.99375,0.9875,0.0,2
mgp_only,0.0,1,0,0.9125000000000001,0.925,0.050000000000000044,2
naive_adapter,0.0,1,0,0.90625,0.9125,0.050000000000000044,2
zero_shot_clap,0.0,1,0,0.79375,0.7875,0.025000000000000022,2
