method,beta,fold,seed,task_id,pos_mean,neg_mean,gap_distance
zero_shot_clap,0.0,1,0,1,0.44728556275367737,0.20393109321594238,0.763349006857609
zero_shot_clap,0.0,1,0,2,0.4180127680301666,0.15670987963676453,0.791886748477592
naive_adapter,0.0,1,0,1,0.45824623107910156,0.20683884620666504,0.7498477091633795
naive_adapter,0.0,1,0,2,0.4435442090034485,0.16569705307483673,0.7481255298878327
mgp_only,0.0,1,0,1,0.4598526060581207,0.2061360776424408,0.7469913244161575
mgp_only,0.0,1,0,2,0.4429176449775696,0.16336728632450104,0.7477142331928374
mgc_only,0.0,1,0,1,0.457476943731308,0.20563006401062012,0.7504111137470519
mgc_only,0.0,1,0,2,0.44074296951293945,0.16203567385673523,0.7499886078931021
mgc_only,1.0,1,0,1,0.4578731656074524,0.20580962300300598,0.7494191954416821
mgc_only,1.0,1,0,2,0.44115200638771057,0.16200052201747894,0.7492632922059962
mgc_only,2.0,1,0,1,0.4569958746433258,0.20484228432178497,0.751327650695758
mgc_only,2.0,1,0,2,0.44099855422973633,0.161336287856102,0.7498961089296637
mgc_only,4.0,1,0,1,0.4575173258781433,0.2053287923336029,0.7507642681374415
mgc_only,4.0,1,0,2,0.44071951508522034,0.16103136539459229,0.7507248879269198
mgc_only,8.0,1,0,1,0.4568943977355957,0.20514142513275146,0.7509992420132904
mgc_only,8.0,1,0,2,0.43986815214157104,0.1612764298915863,0.7508511721373144
mgp_mgc,0.0,1,0,1,0.4603148102760315,0.20693960785865784,0.7473760757746886
mgp_mgc,0.0,1,0,2,0.4443659782409668,0.16562819480895996,0.7481680525749587
mgp_mgc,1.0,1,0,1,0.45925599336624146,0.20619924366474152,0.7483857938688595
mgp_mgc,1.0,1,0,2,0.4423258900642395,0.16374599933624268,0.7498991221486325
mgp_mgc,2.0,1,0,1,0.46013012528419495,0.20680809020996094,0.7470249762775307
mgp_mgc,2.0,1,0,2,0.4435153603553772,0.16423819959163666,0.747799566631962
mgp_mgc,4.0,1,0,1,0.4605967104434967,0.20720919966697693,0.7461621127837197
mgp_mgc,4.0,1,0,2,0.44408392906188965,0.16519013047218323,0.7473449398966393
mgp_mgc,8.0,1,0,1,0.4603899419307709,0.20681127905845642,0.746389619598867
mgp_mgc,8.0,1,0,2,0.4432608485221863,0.16359099745750427,0.7474606332509468
