method,beta,fold,seed,task_id,seen_classes,accuracy,pos_mean,neg_mean,gap_distance
zero_shot_clap,0.0,1,0,1,5,0.8,0.44728556275367737,0.20393109321594238,0.763349006857609
zero_shot_clap,0.0,1,0,2,10,0.7875,0.4180127680301666,0.15670987963676453,0.791886748477592
zero_shot_clap,0.0,1,0,3,15,0.8083333333333333,0.38887009024620056,0.07948743551969528,0.7914497621173061
zero_shot_clap,0.0,1,0,4,20,0.79375,0.38256168365478516,0.05058620870113373,0.7869404219114329
zero_shot_clap,0.0,1,0,5,25,0.82,0.3794518709182739,0.037729114294052124,0.7885155145318222
zero_shot_clap,0.0,1,0,6,30,0.8166666666666667,0.36996951699256897,0.027957193553447723,0.7946601874796847
zero_shot_clap,0.0,1,0,7,35,0.8357142857142857,0.37893763184547424,0.02422233112156391,0.7747884670566632
zero_shot_clap,0.0,1,0,8,40,0.840625,0.3803374767303467,0.023385757580399513,0.7692082538602791
zero_shot_clap,0.0,1,0,9,45,0.8416666666666667,0.3826231360435486,0.025183379650115967,0.7661478647428122
zero_shot_clap,0.0,1,0,10,50,0.8425,0.38761162757873535,0.024950679391622543,0.7620153201869715
naive_adapter,0.0,1,0,1,5,1.0,0.5139854550361633,0.07087847590446472,0.7086656682534217
naive_adapter,0.0,1,0,2,10,0.825,0.33161893486976624,-0.04826335236430168,0.870323656813993
naive_adapter,0.0,1,0,3,15,0.675,0.3590504825115204,-0.003677608910948038,0.8535236693207634
naive_adapter,0.0,1,0,4,20,0.68125,0.3982877731323242,0.029789824038743973,0.7955349426465212
naive_adapter,0.0,1,0,5,25,0.735,0.408611536026001,0.025567280128598213,0.7718161346546347
naive_adapter,0.0,1,0,6,30,0.55,0.36398062109947205,0.016726583242416382,0.8276226510147426
naive_adapter,0.0,1,0,7,35,0.7392857142857143,0.34940260648727417,-0.027430493384599686,0.8107698740923597
naive_adapter,0.0,1,0,8,40,0.75,0.3912200331687927,0.014327909797430038,0.7483149561124368
naive_adapter,0.0,1,0,9,45,0.6833333333333333,0.396315336227417,0.02695283107459545,0.7440601259783053
naive_adapter,0.0,1,0,10,50,0.6475,0.3627304136753082,-0.0076378341764211655,0.8067605161059891
mgp_only,0.0,1,0,1,5,0.975,0.4796118140220642,0.19476257264614105,0.7260323737377588
mgp_only,0.0,1,0,2,10,0.775,0.4133433699607849,0.11049486696720123,0.7898769527056245
mgp_only,0.0,1,0,3,15,0.7583333333333333,0.3920372724533081,0.07279067486524582,0.7757201579503525
mgp_only,0.0,1,0,4,20,0.75625,0.3984871208667755,0.05972971022129059,0.7571498345686039
mgp_only,0.0,1,0,5,25,0.83,0.4069538116455078,0.05238312855362892,0.727238414143663
mgp_only,0.0,1,0,6,30,0.7791666666666667,0.3858262300491333,0.04195147380232811,0.7551593848334163
mgp_only,0.0,1,0,7,35,0.8178571428571428,0.35792237520217896,-0.005350746214389801,0.7798558056219221
mgp_only,0.0,1,0,8,40,0.85625,0.40109390020370483,0.03411206230521202,0.7160950687112345
mgp_only,0.0,1,0,9,45,0.8611111111111112,0.4081156551837921,0.03389369323849678,0.7013343513816632
mgp_only,0.0,1,0,10,50,0.8325,0.38843947649002075,0.025230558589100838,0.7579622985639987
mgc_only,0.0,1,0,1,5,1.0,0.5127415657043457,0.05940200760960579,0.708852583593996
mgc_only,0.0,1,0,2,10,0.825,0.3380756378173828,-0.040589410811662674,0.8562536494286163
mgc_only,0.0,1,0,3,15,0.7166666666666667,0.35616663098335266,-0.005110504571348429,0.8512229614525247
mgc_only,0.0,1,0,4,20,0.6875,0.40285974740982056,0.03715025633573532,0.7834424145314458
mgc_only,0.0,1,0,5,25,0.775,0.408873051404953,0.022489076480269432,0.7603234278549559
mgc_only,0.0,1,0,6,30,0.5875,0.36854830384254456,0.016295231878757477,0.823331046576227
mgc_only,0.0,1,0,7,35,0.7714285714285715,0.3492318391799927,-0.030034519731998444,0.8097836926392555
mgc_only,0.0,1,0,8,40,0.75,0.4011870324611664,0.02061953954398632,0.7377462536429223
mgc_only,0.0,1,0,9,45,0.7111111111111111,0.40272441506385803,0.02804160863161087,0.7323250331957875
mgc_only,0.0,1,0,10,50,0.655,0.3724241256713867,0.0008266177610494196,0.7995528311267905
mgc_only,1.0,1,0,1,5,1.0,0.5033880472183228,0.04944659397006035,0.7141146106416615
mgc_only,1.0,1,0,2,10,0.8625,0.3384987711906433,-0.043443433940410614,0.858180430571092
mgc_only,1.0,1,0,3,15,0.6833333333333333,0.35923177003860474,-0.0015088272048160434,0.8489688995712921
mgc_only,1.0,1,0,4,20,0.73125,0.3986717164516449,0.03255309909582138,0.7889766744914635
mgc_only,1.0,1,0,5,25,0.835,0.40342798829078674,0.019364699721336365,0.7678593479953535
mgc_only,1.0,1,0,6,30,0.5875,0.36652469635009766,0.016700318083167076,0.8202002437750597
mgc_only,1.0,1,0,7,35,0.7821428571428571,0.354501336812973,-0.026247836649417877,0.8021415010447497
mgc_only,1.0,1,0,8,40,0.7875,0.39820489287376404,0.021642975509166718,0.7461368375231865
mgc_only,1.0,1,0,9,45,0.7916666666666666,0.4022881090641022,0.028476495295763016,0.7341434843367274
mgc_only,1.0,1,0,10,50,0.7425,0.3746742904186249,0.002401805017143488,0.7954761987958896
mgc_only,2.0,1,0,1,5,1.0,0.5178976058959961,0.05879674479365349,0.7092094759246731
mgc_only,2.0,1,0,2,10,0.875,0.33911627531051636,-0.03921296447515488,0.8559220199368084
mgc_only,2.0,1,0,3,15,0.7333333333333333,0.3585011661052704,-0.0014227350475266576,0.8503641577877161
