method,beta,fold,seed,Avg,Last,forgetting_proxy,e_star
mgc_only,4.0,1,1,0.7985704365079365,0.815,0.19999999999999998,1
mgc_only,4.0,2,1,0.7830932539682539,0.7925,0.22777777777777775,1
mgc_only,4.0,3,1,0.8033144841269841,0.79,0.23055555555555557,1
mgc_only,4.0,4,1,0.8360605158730159,0.8175,0.19444444444444445,1
mgc_only,4.0,5,1,0.8179325396825396,0.7675,0.25555555555555554,1
mgp_mgc,4.0,1,1,0.9663382936507935,0.9675,0.027777777777777766,1
mgp_mgc,4.0,2,1,0.9844315476190477,0.9775,0.02500000000000001,1
mgp_mgc,4.0,3,1,0.9805089285714285,0.9675,0.02222222222222224,1
mgp_mgc,4.0,4,1,0.9771121031746031,0.9625,0.019444444444444438,1
mgp_mgc,4.0,5,1,0.9814771825396825,0.965,0.01666666666666667,1
mgp_only,0.0,1,1,0.9062113095238097,0.915,0.038888888888888876,1
mgp_only,0.0,2,1,0.8720099206349208,0.885,0.06666666666666667,1
mgp_only,0.0,3,1,0.9428055555555555,0.905,0.06388888888888887,1
mgp_only,0.0,4,1,0.9194394841269841,0.895,0.05555555555555555,1
mgp_only,0.0,5,1,0.9216527777777779,0.9075,0.044444444444444446,1
naive_adapter,0.0,1,1,0.7628978174603174,0.7825,0.2361111111111111,1
naive_adapter,0.0,2,1,0.7505049603174603,0.77,0.25,1
naive_adapter,0.0,3,1,0.7656001984126984,0.7175,0.3138888888888889,1
naive_adapter,0.0,4,1,0.776375,0.775,0.24444444444444446,1
naive_adapter,0.0,5,1,0.78125,0.78,0.24444444444444446,1
zero_shot_clap,0.0,1,1,0.8675496031746031,0.8425,0.0611111111111111,1
zero_shot_clap,0.0,2,1,0.8421646825396826,0.82,0.08611111111111112,1
zero_shot_clap,0.0,3,1,0.8907093253968255,0.8275,0.08888888888888886,1
zero_shot_clap,0.0,4,1,0.8889384920634921,0.8375,0.075,1
zero_shot_clap,0.0,5,1,0.8789444444444443,0.8275,0.06666666666666665,1
