method,beta,fold,seed,task_id,pos_mean,neg_mean,gap_distance
zero_shot_clap,0.0,1,1,1,0.3761211037635803,0.030202189460396767,0.8273542760038697
zero_shot_clap,0.0,1,1,2,0.3920605480670929,0.03159157559275627,0.7817136013314456
zero_shot_clap,0.0,1,1,3,0.39596298336982727,0.023657703772187233,0.7765377346319098
zero_shot_clap,0.0,1,1,4,0.37441182136535645,0.020693613216280937,0.7836472995805401
zero_shot_clap,0.0,1,1,5,0.37960341572761536,0.025282351300120354,0.7776961893036699
zero_shot_clap,0.0,1,1,6,0.37931108474731445,0.027885807678103447,0.768474774107649
zero_shot_clap,0.0,1,1,7,0.3823508620262146,0.02810741774737835,0.7679671463182134
zero_shot_clap,0.0,1,1,8,0.3853362500667572,0.02448112703859806,0.7581032078302186
zero_shot_clap,0.0,1,1,9,0.3851851522922516,0.025800397619605064,0.762134778649116
zero_shot_clap,0.0,1,1,10,0.38761162757873535,0.024950679391622543,0.7620153201869714
naive_adapter,0.0,1,1,1,0.46106186509132385,-0.0014457257930189371,0.7596531070569085
naive_adapter,0.0,1,1,2,0.4560028910636902,0.01417911984026432,0.7090666932313249
naive_adapter,0.0,1,1,3,0.3819079101085663,-0.060144562274217606,0.8038534176156191
naive_adapter,0.0,1,1,4,0.40312379598617554,0.007019425742328167,0.7950731839164416
naive_adapter,0.0,1,1,5,0.3894781172275543,-0.017892733216285706,0.8031344198091002
naive_adapter,0.0,1,1,6,0.3492560088634491,-0.041989319026470184,0.8523748368252297
naive_adapter,0.0,1,1,7,0.3704282343387604,-0.012924723327159882,0.8052618206541395
naive_adapter,0.0,1,1,8,0.3547557294368744,-0.035403504967689514,0.8244187580593659
naive_adapter,0.0,1,1,9,0.3917240500450134,0.0018881653668358922,0.7895867526304061
naive_adapter,0.0,1,1,10,0.38449332118034363,-0.02020922303199768,0.7637072625405434
mgp_only,0.0,1,1,1,0.3776574432849884,0.030817857012152672,0.8254714086899408
mgp_only,0.0,1,1,2,0.3968334197998047,0.03458902984857559,0.7740907543701747
mgp_only,0.0,1,1,3,0.4071725308895111,0.029747100546956062,0.758053596870766
mgp_only,0.0,1,1,4,0.3955358862876892,0.033772896975278854,0.7499668368879888
mgp_only,0.0,1,1,5,0.4087679386138916,0.044992219656705856,0.7296170737839893
mgp_only,0.0,1,1,6,0.40825361013412476,0.046339504420757294,0.7213238251941452
mgp_only,0.0,1,1,7,0.40908563137054443,0.043841514736413956,0.7198497282651998
mgp_only,0.0,1,1,8,0.4131174683570862,0.039040595293045044,0.7046348057538587
mgp_only,0.0,1,1,9,0.42450451850891113,0.04898780211806297,0.6892020217801902
mgp_only,0.0,1,1,10,0.4221612811088562,0.042680464684963226,0.6919969667332363
mgc_only,4.0,1,1,1,0.46016383171081543,-0.003134847851470113,0.759255243426247
mgc_only,4.0,1,1,2,0.46701517701148987,0.02171156369149685,0.701039706044359
mgc_only,4.0,1,1,3,0.3861367106437683,-0.05827606841921806,0.8007553422764847
mgc_only,4.0,1,1,4,0.3970309793949127,0.00025447073858231306,0.8026947340628093
mgc_only,4.0,1,1,5,0.38617557287216187,-0.01836078055202961,0.8142491501419166
mgc_only,4.0,1,1,6,0.35657018423080444,-0.04044029116630554,0.8488772395436053
mgc_only,4.0,1,1,7,0.37606072425842285,-0.011150785721838474,0.7996631011952994
mgc_only,4.0,1,1,8,0.361961305141449,-0.0276962760835886,0.8204000524881281
mgc_only,4.0,1,1,9,0.40319088101387024,0.008734609000384808,0.7706993042835646
mgc_only,4.0,1,1,10,0.38760361075401306,-0.01904837228357792,0.7561859568312426
mgp_mgc,4.0,1,1,1,0.3777995705604553,0.030909132212400436,0.8252740851724254
mgp_mgc,4.0,1,1,2,0.39778533577919006,0.035438258200883865,0.7728985453615437
mgp_mgc,4.0,1,1,3,0.40895435214042664,0.0314517542719841,0.7555442253557005
mgp_mgc,4.0,1,1,4,0.39845597743988037,0.03640100732445717,0.7459505307229407
mgp_mgc,4.0,1,1,5,0.41132888197898865,0.04785718768835068,0.7259491631950918
mgp_mgc,4.0,1,1,6,0.40924301743507385,0.047927312552928925,0.719909918811757
mgp_mgc,4.0,1,1,7,0.4099177122116089,0.04544306546449661,0.7187671679981421
mgp_mgc,4.0,1,1,8,0.412324994802475,0.039280299097299576,0.7058487609264505
mgp_mgc,4.0,1,1,9,0.4242100119590759,0.05021025612950325,0.6889451441677548
mgp_mgc,4.0,1,1,10,0.42208796739578247,0.04372203350067139,0.6919482338336974
zero_shot_clap,0.0,2,1,1,0.34327560663223267,0.043359410017728806,0.8240337873028013
zero_shot_clap,0.0,2,1,2,0.3859502375125885,0.035915762186050415,0.7850841388893027
zero_shot_clap,0.0,2,1,3,0.3846336305141449,0.03290341794490814,0.7722640612505421
