fold,seed,epoch,neg_mean,pos_mean,drift,gap_distance,selected
1,2,0,0.03253708407282829,0.3604811728000641,0.0,0.7712825960911601,False
1,2,1,0.03308706730604172,0.36277300119400024,0.016903273568780415,0.7693749059789751,True
1,2,2,0.03587597608566284,0.3745529055595398,0.10261804669899281,0.7597556688622679,False
2,2,0,0.022329235449433327,0.36556243896484375,0.0,0.7804685652209069,False
2,2,1,0.02283826842904091,0.3679109513759613,0.02279670438158689,0.7782159593868483,True
2,2,2,0.025422006845474243,0.37968024611473083,0.13850771572742787,0.7679409592758975,False
3,2,0,0.023351047188043594,0.363914430141449,0.0,0.7757166680434698,False
3,2,1,0.02395441010594368,0.3663488030433655,0.025838794853235727,0.773665655230584,True
3,2,2,0.02722027897834778,0.3779507279396057,0.1656984271046029,0.7638021988426678,False
4,2,0,0.02130473218858242,0.36222028732299805,0.0,0.7817002957869326,False
4,2,1,0.021885709837079048,0.36473774909973145,0.027269887429422084,0.7796582482012742,True
4,2,2,0.024238221347332,0.37673789262771606,0.13769190491498826,0.7700446266155652,False
5,2,0,0.024127904325723648,0.359750360250473,0.0,0.777827173644848,False
5,2,1,0.024705683812499046,0.36223775148391724,0.023946525938409256,0.7755526163362828,True
5,2,2,0.027403026819229126,0.3740977346897125,0.13574003151254826,0.7652451780580523,False
