method,beta,fold,seed,task_id,seen_classes,accuracy,pos_mean,neg_mean,gap_distance
zero_shot_clap,0.0,1,2,1,5,0.8,0.3700040876865387,-0.0064983367919921875,0.813995779620748
zero_shot_clap,0.0,1,2,2,10,0.9,0.3898386061191559,-0.011085094884037971,0.7904616166757942
zero_shot_clap,0.0,1,2,3,15,0.925,0.4033173620700836,0.00551224360242486,0.7683938570169995
zero_shot_clap,0.0,1,2,4,20,0.9375,0.3906055986881256,0.0030287434346973896,0.7840645744843301
zero_shot_clap,0.0,1,2,5,25,0.895,0.386545330286026,0.011755230836570263,0.7791240067495823
zero_shot_clap,0.0,1,2,6,30,0.8916666666666667,0.3858054578304291,0.01578022539615631,0.777962240281123
zero_shot_clap,0.0,1,2,7,35,0.8678571428571429,0.3842129707336426,0.013912987895309925,0.776407912516762
zero_shot_clap,0.0,1,2,8,40,0.878125,0.37793490290641785,0.011533139273524284,0.7825201530998488
zero_shot_clap,0.0,1,2,9,45,0.8638888888888889,0.38442108035087585,0.01711287535727024,0.7724157158541561
zero_shot_clap,0.0,1,2,10,50,0.8425,0.38761162757873535,0.024950679391622543,0.7620153201869714
naive_adapter,0.0,1,2,1,5,1.0,0.4772125780582428,-0.03375326842069626,0.7429269024696558
naive_adapter,0.0,1,2,2,10,0.9625,0.45118704438209534,-0.031803831458091736,0.7245905304633014
naive_adapter,0.0,1,2,3,15,0.9083333333333333,0.4427850842475891,-0.002523336559534073,0.7488254565907495
naive_adapter,0.0,1,2,4,20,0.86875,0.46243375539779663,0.032697055488824844,0.7224113672473503
naive_adapter,0.0,1,2,5,25,0.82,0.42559680342674255,0.007758975028991699,0.7601234564020924
naive_adapter,0.0,1,2,6,30,0.8208333333333333,0.42417412996292114,0.025085533037781715,0.7420176114028554
naive_adapter,0.0,1,2,7,35,0.7071428571428572,0.4057132303714752,0.005532120820134878,0.7853542384625696
naive_adapter,0.0,1,2,8,40,0.796875,0.4239231050014496,0.016867591068148613,0.7402296508291123
naive_adapter,0.0,1,2,9,45,0.6833333333333333,0.39612245559692383,0.0031770337373018265,0.774883876582448
naive_adapter,0.0,1,2,10,50,0.6275,0.3993563950061798,0.020659469068050385,0.7724404402762348
mgp_only,0.0,1,2,1,5,0.85,0.3725004494190216,-0.005971401929855347,0.8118491674628577
mgp_only,0.0,1,2,2,10,0.9625,0.3980167508125305,-0.006866622716188431,0.7794372757864328
mgp_only,0.0,1,2,3,15,0.9416666666666667,0.4222378432750702,0.018704188987612724,0.7417000521098145
mgp_only,0.0,1,2,4,20,0.95625,0.42127546668052673,0.02549838274717331,0.7386318755412672
mgp_only,0.0,1,2,5,25,0.92,0.4309390187263489,0.04532733932137489,0.7109834739897031
mgp_only,0.0,1,2,6,30,0.925,0.43880245089530945,0.05747554078698158,0.6906148062763642
mgp_only,0.0,1,2,7,35,0.9142857142857143,0.44313985109329224,0.056964218616485596,0.6735127056930984
mgp_only,0.0,1,2,8,40,0.928125,0.45172327756881714,0.06816268712282181,0.6556639158485376
mgp_only,0.0,1,2,9,45,0.9138888888888889,0.4493606686592102,0.06320280581712723,0.6545079896149392
