method,beta,fold,seed,Avg,Last,forgetting_proxy,e_star
mgc_only,4.0,1,3,0.8517261904761904,0.81,0.19722222222222222,1
mgc_only,4.0,2,3,0.8679246031746033,0.8025,0.2138888888888889,1
mgc_only,4.0,3,3,0.8683730158730159,0.825,0.18611111111111114,1
mgc_only,4.0,4,3,0.8904464285714286,0.8475,0.16944444444444443,1
mgc_only,4.0,5,3,0.8503511904761906,0.8125,0.20277777777777778,1
mgp_mgc,4.0,1,3,0.9810416666666665,0.9775,0.013888888888888902,1
mgp_mgc,4.0,2,3,0.9892410714285713,0.985,0.008333333333333328,1
mgp_mgc,4.0,3,3,0.984391865079365,0.9625,0.030555555555555544,1
mgp_mgc,4.0,4,3,0.9921825396825398,0.9875,0.00833333333333334,1
mgp_mgc,4.0,5,3,0.9671061507936509,0.9575,0.03333333333333334,1
mgp_only,0.0,1,3,0.9612291666666668,0.9525,0.03888888888888889,1
mgp_only,0.0,2,3,0.9777956349206349,0.9675,0.019444444444444462,1
mgp_only,0.0,3,3,0.9848819444444444,0.9625,0.030555555555555558,1
mgp_only,0.0,4,3,0.9851319444444444,0.9575,0.04166666666666668,1
mgp_only,0.0,5,3,0.9607093253968253,0.94,0.049999999999999996,1
naive_adapter,0.0,1,3,0.8136309523809524,0.8,0.2111111111111111,1
naive_adapter,0.0,2,3,0.8495486111111111,0.8225,0.19166666666666665,1
naive_adapter,0.0,3,3,0.8230128968253968,0.7475,0.2722222222222222,1
naive_adapter,0.0,4,3,0.8488908730158731,0.7925,0.2277777777777778,1
naive_adapter,0.0,5,3,0.8126011904761905,0.7575,0.2638888888888889,1
zero_shot_clap,0.0,1,3,0.9670853174603173,0.94,0.030555555555555544,1
zero_shot_clap,0.0,2,3,0.9752301587301588,0.965,0.00833333333333334,1
zero_shot_clap,0.0,3,3,0.9695724206349207,0.9325,0.033333333333333326,1
zero_shot_clap,0.0,4,3,0.9800575396825396,0.9475,0.033333333333333354,1
zero_shot_clap,0.0,5,3,0.9625148809523809,0.9325,0.03333333333333334,1
