method,beta,fold,seed,task_id,seen_classes,accuracy,pos_mean,neg_mean,gap_distance
zero_shot_clap,0.0,1,3,1,5,1.0,0.5406503081321716,0.1248200386762619,0.6814427196348254
zero_shot_clap,0.0,1,3,2,10,0.975,0.5391707420349121,0.10925708711147308,0.6440407083549015
zero_shot_clap,0.0,1,3,3,15,0.975,0.5379127860069275,0.12039586901664734,0.630934048513819
zero_shot_clap,0.0,1,3,4,20,0.98125,0.528448760509491,0.11399476230144501,0.6388453149869827
zero_shot_clap,0.0,1,3,5,25,0.975,0.5259447693824768,0.11206189543008804,0.6405053787841506
zero_shot_clap,0.0,1,3,6,30,0.9666666666666667,0.5208200812339783,0.10900687426328659,0.6458280624109973
zero_shot_clap,0.0,1,3,7,35,0.9607142857142857,0.517134964466095,0.11353472620248795,0.647125762673064
zero_shot_clap,0.0,1,3,8,40,0.95,0.5244801640510559,0.12011824548244476,0.6420869363905859
zero_shot_clap,0.0,1,3,9,45,0.9472222222222222,0.5211299657821655,0.11731099337339401,0.6424668886660777
zero_shot_clap,0.0,1,3,10,50,0.94,0.5197070240974426,0.12190168350934982,0.6444655921001089
naive_adapter,0.0,1,3,1,5,1.0,0.5051060914993286,-0.10384348779916763,0.7220697028807639
naive_adapter,0.0,1,3,2,10,0.875,0.45160168409347534,-0.06842701882123947,0.7631466965161771
naive_adapter,0.0,1,3,3,15,0.775,0.4433811902999878,-0.049299489706754684,0.7516759848407606
naive_adapter,0.0,1,3,4,20,0.90625,0.4361683428287506,-0.04574717581272125,0.7659308280403754
naive_adapter,0.0,1,3,5,25,0.775,0.4304780960083008,-0.02728436142206192,0.7871178969002569
naive_adapter,0.0,1,3,6,30,0.7833333333333333,0.4394699037075043,-0.02965371496975422,0.752141887171207
naive_adapter,0.0,1,3,7,35,0.7571428571428571,0.47329220175743103,0.017434535548090935,0.71065383539226
naive_adapter,0.0,1,3,8,40,0.80625,0.47218960523605347,0.01962249167263508,0.6922451983045004
naive_adapter,0.0,1,3,9,45,0.6583333333333333,0.41796642541885376,-0.009435631334781647,0.777640000038787
naive_adapter,0.0,1,3,10,50,0.8,0.4506409168243408,0.018276432529091835,0.7311009099891241
mgp_only,0.0,1,3,1,5,1.0,0.5424834489822388,0.1228194385766983,0.679444502256203
mgp_only,0.0,1,3,2,10,0.9625,0.5400926470756531,0.1026061624288559,0.6383589427051855
mgp_only,0.0,1,3,3,15,0.9666666666666667,0.5358680486679077,0.10461445152759552,0.6202083897146948
mgp_only,0.0,1,3,4,20,0.96875,0.522072434425354,0.08259529620409012,0.6242238250344955
mgp_only,0.0,1,3,5,25,0.965,0.5074437856674194,0.06490232795476913,0.635768976257095
mgp_only,0.0,1,3,6,30,0.9583333333333334,0.49066150188446045,0.04981894791126251,0.6565284016257482
mgp_only,0.0,1,3,7,35,0.95,0.49876949191093445,0.062422461807727814,0.6344862709642378
mgp_only,0.0,1,3,8,40,0.946875,0.5087136030197144,0.07330100983381271,0.628271415669708
mgp_only,0.0,1,3,9,45,0.9416666666666667,0.484054297208786,0.048332326114177704,0.6599480281230043
mgp_only,0.0,1,3,10,50,0.9525,0.4981880486011505,0.06648623943328857,0.6333837942327998
mgc_only,4.0,1,3,1,5,1.0,0.5212447643280029,-0.08829693496227264,0.7073205349104207
mgc_only,4.0,1,3,2,10,0.8875,0.4520794451236725,-0.07088828831911087,0.7685613249696551
mgc_only,4.0,1,3,3,15,0.825,0.44506341218948364,-0.04573206976056099,0.7444104291515001
mgc_only,4.0,1,3,4,20,0.93125,0.4356943964958191,-0.044133491814136505,0.7698886996786818
mgc_only,4.0,1,3,5,25,0.915,0.4400229752063751,-0.024402180686593056,0.7723389035097173
mgc_only,4.0,1,3,6,30,0.9083333333333333,0.43858134746551514,-0.03152785077691078,0.7617328968367497
mgc_only,4.0,1,3,7,35,0.7714285714285715,0.47114866971969604,0.022207139059901237,0.7199129600770593
mgc_only,4.0,1,3,8,40,0.79375,0.46271151304244995,0.021011730656027794,0.7136403910373439
mgc_only,4.0,1,3,9,45,0.675,0.40730369091033936,-0.01908337138593197,0.7929498825761276
mgc_only,4.0,1,3,10,50,0.81,0.4411795139312744,0.016661720350384712,0.7413010631689133
mgp_mgc,4.0,1,3,1,5,1.0,0.542579174041748,0.12245769798755646,0.6795307874748259
mgp_mgc,4.0,1,3,2,10,0.975,0.5400687456130981,0.10219499468803406,0.6383640554268776
mgp_mgc,4.0,1,3,3,15,0.9833333333333333,0.5356398820877075,0.10495272278785706,0.6211217736469976
