method,alpha,runs,Avg_mean,Avg_std,Last_mean,Last_std,forgetting_proxy_mean,forgetting_proxy_std
mgc_only,0.05,4,0.785101636904762,0.039802887856135054,0.729375,0.03347270343130353,0.2877777777777778,0.038238610827600564
mgc_only,0.1,4,0.7881258928571429,0.04199045217676418,0.732375,0.041410105952532895,0.2844444444444444,0.04632980268988798
mgc_only,0.2,4,0.7862311507936508,0.04216064147060013,0.7294999999999999,0.04225961429071502,0.28694444444444445,0.0477915031964656
mgc_only,0.3,4,0.7859563492063492,0.03916246806737323,0.7237499999999999,0.031317926176552595,0.29347222222222225,0.03554768793162152
mgp_mgc,0.05,4,0.9588914682539682,0.0032093221247008483,0.9226249999999999,0.005504259714075976,0.07111111111111111,0.005285082664011235
mgp_mgc,0.1,4,0.9481744047619047,0.0031755264096516847,0.905375,0.0040523912693619,0.08986111111111111,0.004587540156920484
mgp_mgc,0.2,4,0.9130646825396825,0.006087584773128278,0.8574999999999999,0.006010407640085668,0.14305555555555555,0.007173984205636086
mgp_mgc,0.3,4,0.8813464781746032,0.010491249163918073,0.825625,0.00846592434409851,0.17833333333333334,0.009337631285539777
mgp_only,0.05,4,0.8321724702380953,0.002690694740557917,0.8146249999999999,0.005248511693804247,0.1738888888888889,0.0063828473850422495
mgp_only,0.1,4,0.8276740079365079,0.0007726113153956246,0.8094999999999999,0.0028062430400805425,0.1811111111111111,0.003706017795590645
mgp_only,0.2,4,0.8163591269841269,0.004047729408314934,0.7865,0.008007808689023491,0.21,0.008370288429621876
mgp_only,0.3,4,0.8008751488095238,0.005061204516548669,0.7432500000000001,0.006637959023675827,0.25972222222222224,0.007978559231302846
naive_adapter,0.05,4,0.7390794642857144,0.03358556113433274,0.6415,0.037411562383840684,0.3834722222222222,0.04534057506156687
naive_adapter,0.1,4,0.7371217757936508,0.035011425940522804,0.6436249999999999,0.04059614359763743,0.38152777777777774,0.04877254939075952
naive_adapter,0.2,4,0.7382738591269841,0.03394639232922182,0.6491250000000001,0.03698373798036105,0.3754166666666667,0.04440167212678282
naive_adapter,0.3,4,0.7420244543650794,0.03307189146638786,0.653125,0.03396022489619291,0.3713888888888889,0.04088998337907145
zero_shot_clap,0.05,4,0.8175575396825397,0.0,0.8310000000000001,0.0,0.04444444444444444,0.0
zero_shot_clap,0.1,4,0.8175575396825397,0.0,0.8310000000000001,0.0,0.04444444444444444,0.0
zero_shot_clap,0.2,4,0.8175575396825397,0.0,0.8310000000000001,0.0,0.04444444444444444,0.0
zero_shot_clap,0.3,4,0.8175575396825397,0.0,0.8310000000000001,0.0,0.04444444444444444,0.0
