backbone,seed,class_order,method,beta,alpha,adapter_rank,Avg_mean,Avg_std,Last_mean,Last_std,forgetting_proxy_mean,forgetting_proxy_std,summary_path
laion,0,canonical,mgc_only,4.0,0.1,16,0.7796513888888889,0.020467965988929786,0.7234999999999999,0.023801260470823808,0.2944444444444444,0.027159792359067368,/home/rwik/leiden_projects/MG-CLAP/results/continual_mgclap_phase2/laion/seed_0/summary.json
laion,0,canonical,mgp_mgc,4.0,0.1,16,0.945252380952381,0.013497605400687104,0.9039999999999999,0.021130546609115446,0.09166666666666665,0.020260647254233852,/home/rwik/leiden_projects/MG-CLAP/results/continual_mgclap_phase2/laion/seed_0/summary.json
laion,0,canonical,mgp_only,0.0,0.1,16,0.8273464285714285,0.0173609721354982,0.8059999999999998,0.024627220712049498,0.18555555555555556,0.0282405889491974,/home/rwik/leiden_projects/MG-CLAP/results/continual_mgclap_phase2/laion/seed_0/summary.json
laion,0,canonical,naive_adapter,0.0,0.1,16,0.7240208333333333,0.016688697233369243,0.6255,0.03432928778754375,0.40388888888888896,0.041223569909086995,/home/rwik/leiden_projects/MG-CLAP/results/continual_mgclap_phase2/laion/seed_0/summary.json
laion,0,canonical,zero_shot_clap,0.0,0.1,16,0.8175575396825397,0.004268143683237102,0.8310000000000001,0.008000000000000023,0.04444444444444444,0.008784104611578835,/home/rwik/leiden_projects/MG-CLAP/results/continual_mgclap_phase2/laion/seed_0/summary.json
laion,1,shuffled,mgc_only,4.0,0.1,16,0.8077942460317459,0.017983620028597026,0.7965,0.018343936327844142,0.22166666666666662,0.022249982660556427,/home/rwik/leiden_projects/MG-CLAP/results/continual_mgclap_phase2/laion/seed_1/summary.json
laion,1,shuffled,mgp_mgc,4.0,0.1,16,0.9779736111111111,0.006269459301204066,0.968,0.005099019513592796,0.02222222222222222,0.003928371006591928,/home/rwik/leiden_projects/MG-CLAP/results/continual_mgclap_phase2/laion/seed_1/summary.json
laion,1,shuffled,mgp_only,0.0,0.1,16,0.9124238095238095,0.02336373946302833,0.9015000000000001,0.010440306508910552,0.053888888888888875,0.01077262190536962,/home/rwik/leiden_projects/MG-CLAP/results/continual_mgclap_phase2/laion/seed_1/summary.json
laion,1,shuffled,naive_adapter,0.0,0.1,16,0.7673255952380952,0.010782362857054091,0.765,0.02413503677229433,0.2577777777777778,0.02840405118036492,/home/rwik/leiden_projects/MG-CLAP/results/continual_mgclap_phase2/laion/seed_1/summary.json
laion,1,shuffled,zero_shot_clap,0.0,0.1,16,0.8736613095238095,0.0177838642146367,0.8310000000000001,0.008000000000000023,0.07555555555555556,0.010743933114340954,/home/rwik/leiden_projects/MG-CLAP/results/continual_mgclap_phase2/laion/seed_1/summary.json
laion,2,shuffled,mgc_only,4.0,0.1,16,0.8266005952380953,0.010615236362138193,0.6475,0.02091650066335187,0.38777777777777783,0.023013683530231116,/home/rwik/leiden_projects/MG-CLAP/results/continual_mgclap_phase2/laion/seed_2/summary.json
laion,2,shuffled,mgp_mgc,4.0,0.1,16,0.9869390873015874,0.005705497044347141,0.9705,0.010416333327999856,0.02,0.011439589045541107,/home/rwik/leiden_projects/MG-CLAP/results/continual_mgclap_phase2/laion/seed_2/summary.json
