method,adapter_rank,runs,Avg_mean,Avg_std,Last_mean,Last_std,forgetting_proxy_mean,forgetting_proxy_std
mgc_only,4,4,0.839917361111111,0.0011826503398809022,0.770875,0.0066555897559870975,0.24041666666666667,0.007811188161466052
mgc_only,8,4,0.8021888888888888,0.002400421237349201,0.7481250000000002,0.006895424207400127,0.2661111111111111,0.0062731054392423415
mgc_only,16,4,0.7751852678571428,0.0032483897005852855,0.723125,0.012315513590589699,0.29486111111111113,0.014062114192238519
mgc_only,32,4,0.7281235119047619,0.0032476737855094374,0.672875,0.009691329888101079,0.35125000000000006,0.010536349486127904
mgp_mgc,4,4,0.9281620535714286,0.026882034446267515,0.878125,0.03661006521436418,0.11972222222222223,0.04038109354697297
mgp_mgc,8,4,0.9300176587301587,0.027954205454844297,0.8833749999999999,0.03513256146369059,0.11486111111111111,0.038790301622957254
mgp_mgc,16,4,0.922257886904762,0.03155685626545223,0.8744999999999999,0.04201934078492897,0.1247222222222222,0.046265637996889875
mgp_mgc,32,4,0.9210394345238095,0.0366466620581691,0.875125,0.04085397012531341,0.12305555555555554,0.04567818859784444
mgp_only,4,4,0.8224039186507937,0.010175610048309853,0.791125,0.029157706957166563,0.20375,0.03515480535440601
mgp_only,8,4,0.8208181547619047,0.01189409035791543,0.785625,0.034189499484490786,0.20902777777777778,0.040800960334256
mgp_only,16,4,0.8180843750000001,0.012226789508296485,0.7865,0.025619816548913796,0.20819444444444443,0.03053124032532038
mgp_only,32,4,0.8157743055555555,0.014609273359242772,0.790625,0.024890698563921423,0.20375,0.029732280229648037
naive_adapter,4,4,0.7798696924603175,0.001506658262629785,0.6937500000000001,0.003682729965664019,0.3204166666666666,0.0040133842435555464
naive_adapter,8,4,0.7599264384920635,0.0020207694855875922,0.666875,0.002301494079940329,0.35486111111111107,0.002760362071437741
naive_adapter,16,4,0.7257774305555554,0.0012330719982206412,0.6320000000000001,0.007390872749547238,0.3966666666666666,0.008221471437193777
naive_adapter,32,4,0.690925992063492,0.0033223334275738372,0.5947499999999999,0.006581223290544139,0.43986111111111115,0.007279420934099273
zero_shot_clap,4,4,0.8175575396825397,0.0,0.8310000000000001,0.0,0.04444444444444444,0.0
zero_shot_clap,8,4,0.8175575396825397,0.0,0.8310000000000001,0.0,0.04444444444444444,0.0
zero_shot_clap,16,4,0.8175575396825397,0.0,0.8310000000000001,0.0,0.04444444444444444,0.0
zero_shot_clap,32,4,0.8175575396825397,0.0,0.8310000000000001,0.0,0.04444444444444444,0.0
